Artist_id,Artist_name,Artist_location
ARMQHX71187B9890D3,Mastodon,"Atlanta, GA"
AR2PT4M1187FB55B1A,Los Chichos,
ARDI88R1187B98DAB2,Foxy Brown,
ARUKJUP12086C14589,Ramón Vargas;Vladimir Jurowski,
ARZEWUR1187FB53DC8,Enthroned,"Belgica -- Namur, Namur/Ghent, East Flanders"
ARUZRFN1187B98AC05,Bone Thugs-N-Harmony,"Cleveland, OH"
ARHBWOZ1187FB3FD53,Utopia,ITALY
ARR3ONV1187B9A2F59,Muse,UK
AR3THYK1187B999F1F,João Gilberto,
ARFELOH1187B991F95,Niraj Chag,
ARO0EUG1187B9AC250,Portable,
AR6CLFP1187B9ACB94,Daniel Johnston,"Sacramento, CA"
AR6WICD1187B998708,Christian McBride,"Philadelphia, PA"
ARMFOCL119B8668919,String Trio Of New York,
AR3GYKU1187B996AB9,Jim Kweskin,"Stamford, CT"
ARDOOH01187B991055,Ultraviolence,
ARVUAJC1187B9908A5,Speedball,Speedball
ARM63WJ1187B9951EA,Autumnblaze,
ARBQPXY1187B98D67B,Kris Kristofferson,"Brownsville, TX"
ARPVFV91187B98BB94,Cinder,
AR6TD9K1187B9A207D,Sister Rosetta Tharpe,"Cotton Plant, AR"
ARYF20K1187B9B76BD,George Lopez,"ORANGE, California"
ARH861H1187B9B799E,Johnny Cash,"Kingsland, AR"
ARHWRBR119B8669309,Hatesex,
ARE17W51187FB5381B,Rui Da Silva,London
AR8U8G41187B9A833B,Tim Exile,
ARQVTCN11E2835DFFD,Marcel Mouloudji,
AR8W2DS1187B9B6E36,Alex Theory,
ARHO1WI1187B98CB84,Michael Card,
ARYUHNV1187FB482AF,Megadrums,
AROBQ0B1187FB404F6,Walter Jackson,"Pensacola, FL"
ARYNSN31187FB4C573,Bizzy Bone Presents,"Columbus, OH"
ARE9SYU1187B9B9838,Jerry Reed,"OCALA, Florida"
ARZCXO91187FB53708,Justin,Georgia
ARPEJMN11F4C84080E,New Roanoke Jug Band,Virginia
ARJJRZ41187FB4C856,Floor,
ARELA4P1187B991507,Charles Williams,Texas
AR1VWD91187FB4CE99,The Animals_ Sonny Boy Williamson,Newcastle
ARUYVDC12086C11D5C,Fever Ray,Stockholm
ARUT60Q1187B9B90E9,Orquesta Broadway,
AR8Q4RZ1187FB46BDC,T-Bone Walker,"Linden, TX"
ARMBR4Y1187B9990EB,David Martin,California - SF
AR0CANF1187B9AF35F,Dilated Peoples,"Los Angeles, California"
ARDDTL91187B9974A7,Warren Barfield,
ARZJFLE12086C117FF,MN,
AR9OLFX1187B9A5762,Bob Wills,"Kosse, TX"
ARYPRAG11F50C48C62,Checkers,
ARYN8YT1187FB38396,Los Iracundos,
ARJ9DSA1187B990E00,John And The Bluesbreakers Mayall,
ARVUQIC1187B9A7C66,Hevia,
ARK6JC91187B9B4B2D,Babbie Mason,United States
AROGAPH1187B98CF9C,Benabar,
AR8ACFK1187B9B4063,Champion Jack Dupree,"New Orleans, LA"
ARLDW2Y1187B9B544F,Tommy James & The Shondells,"Dayton, OH"
ARELA4P1187B991507,Charles Williams,Texas
ARELFAE1187FB40D0A,Bally Sagoo,
ARMAOIY1187B9A3893,Jerry Yan,
ARRPCKN1187FB5BA2F,Z.Z. Hill,"Naples, TX"
ARDGBFI1269FCD6AA6,The Grease Band,
ARGEKDX1187FB3A5BF,Marcus Miller,"Brooklyn, NY"
ARGXNS21187B999665,Tina Britt,Florida
ARFZNDU1187FB417FC,X-Static,
AR0NQD81187FB3AD13,Gary Morris,"Fort Worth, TX"
AR0B5HI1187B9B9DB9,Silvério Pessoa,
AR4L4WQ1187FB51996,The Prodigy,"Braintree, Essex, England"
ARKRQSV1187B99FB13,Deborah Allen,"Memphis, TN"
ARB3YS71187FB4E54E,Tomorrow,
ARJPZSG1187FB3E985,John Holt,"Kingston, Jamaica"
ART09111187FB5BF48,Ty Herndon;Stephanie Bentley,"Meridian, MS"
ARH4Z031187B9A71F2,Faye Adams,"Newark, NJ"
ARDEC2A1187B9A460E,Chimaira,"Cleveland, OH"
ARZBYDY1187FB46DD7,Cali,Vernet les Bains
AR0N0DX1187FB41327,The Master Musicians of Jajouka featuring Bachir Attar,"London, England"
ARMW8O71187B98CD90,Angélla Christie,
ARFCOGY1187FB454B4,The Winans,"Detroit, MI"
ARQCHDN1187FB4C7C2,Luiz Bonfa,"Rio de Janeiro, Brazil"
AROIHOI122988FEB8E,Mario Rosenstock,
ARE8GLF1187FB52532,Red Hot Chili Peppers,
ARJBWQI1187B9B17D1,Trivium,"Orlando, FL"
ARENLSD1241B9C71B9,Mack and Jamie,
ARYZV2X1187B997BE7,Chris Standring,California - LA
ARM0RY81187B9AF248,Jerry Goldsmith,"Los Angeles, CA"
AR9F71I1187FB46CAF,Gordon MacRae,
ARJ9DSA1187B990E00,John Mayall & The Bluesbreakers,
ARTDUXM1187B9899ED,Charley Patton,"Edwards, MS"
ARUWB5W1187B98D7A1,Ensiferum,"Helsinki, Finland"
ARTJPHB1187B9968E5,The Race,
ARIULTJ1187B9A2017,Neviss,
AR4TLW81187B99683D,Martin Sexton,"Syracuse, NY"
ARVNIVQ1250941026F,Dylan Kuo,
ARNNHLN1187FB42912,Yahir,"Hermosillo Sonora, Mexico"
ARZJ4MI1187B9AF5AF,Reel Big Fish,"Orange County, CA"
AR502DZ1187B98F8E1,Brian Dullaghan,
ARE08BN1187B98FCA3,Der Plan,
ARSWXNX1187FB3D04E,Chango Spasiuk,Argentina
ARFERPC1187FB557F6,Hacken Lee,
ARIJ7MR1187B9B484E,Peggy Zina,
AR93D4D1187FB3ACAD,J.J. Cale,"Oklahoma City, OK"
ARPOPBQ11F4C83D36D,DJ Spinn,
ARMKO9M1187B9B0848,Theodis Ealey,Georgia
ARKYI5T1187B99334F,Janet Paschal,North Carolina
ARWHM281187FB3D381,Souls Of Mischief,"Oakland, CA"
ARI4NXX1187FB59DF2,Raze,Wisconsin
AR7Y6JX1187FB4D9B3,Bad Brains,"Washington, D.C."
ARQ0BZY1187B99F093,Everyday Sunday,"Columbus, OH"
AR3KXHI1187FB3A8BF,Dora The Explorer,
AR3SEQM1187B98E9E8,Kix,"Hagerstown, MD"
AR03BDP1187FB5B324,Britney Spears,"Kentwood, LA; Los Angeles, CA"
ARH8B5X1187FB3B6C0,Skeletonwitch,
AR5BX3Y1187FB39E93,Slightly Stoopid,"Ocean Beach, San Diego, CA"
ARS2FUA1187B9ADABF,Indigenous,South Dakota
ARAPI451187B9B6E6F,John Michael Talbot,"Oklahoma City, OK"
ARS0W831187B9AF0B7,Maximilian Hecker,
ARVML4B1187FB52324,Leroy Hutson,"Newark, NJ"
ARUZL121187FB4B42D,True Believers,
ARGSAFR1269FB35070,Blingtones,
AROVE3N1187FB44DAD,Charlie Cruz,
ARASYMJ1187B9ACAF2,Whitesnake,"London, England"
AR937CC1187B99B9B9,Los Abuelos De La Nada,
ARZU9NI1187B9AEE08,Babylon Disco,Karlstad
ARP9QX11187FB50EEB,Ulytau,
ARMSW7X1187FB5B504,Dave Eggar,California - LA
ARDAONS11F4C844929,Ray Kane,
AROLZEM1187B9A805E,Ashes to Ashes,NORWAY
AR22KLC1187B98E812,Kaija Koo,
AR05VW21187FB407B4,Fudge Tunnel,Nottingham
AR180PG1187B997BAE,Donnie Brooks,"Dallas, Texas"
ARVWNTI1269FB34C59,SOJA,
ARJGIOD1187B9AE920,Kelly Clarkson,
AR64N1H1187B996199,Edgar Bori,Montreal
AR6Y8JF1187B9BA1D5,Jimmy Witherspoon,"Gurdon, AR"
ARSVRVA1187B99228A,The Nelons,
AR202MX1187B9B0383,Tanto Metro & Devonte,
ARNR58F1187FB52FA9,BigElf,
AR9YWMS1187FB43A34,Dinosaur Jr.,"Amherst, MA"
AR1GNFR1187B9AD1FD,The Exies,"Los Angeles, CA"
ARNJVSL1187B99AFD4,2raumwohnung,"Berlin, Germany"
ARGMXQW1187FB54C34,Eliane Elias,"Sao Paulo, Brazil"
ARE0OLY1187B9AD19F,Jesse Malin and The St. Marks Social,"Whitestone, Queens, NY"
AR16T2D1187B98ABF4,Zimbabwe Legit,
ARHZCG01187B99E4DE,Stanley Clarke,"Philadelphia, PA"
ARY02GH1187B99B223,Zombie Girl,"Edmonton, Alberta, Canada"
ARFY8NV1187B9B1961,Der Moderne Man,
ARA7WV51187FB532B0,GG Allin,"Lancaster, NH"
ARUGX5X1187FB468C4,Dino,"Encino, CA"
ARWQ2DR1187B98FF28,Ma Rainey,"Columbus, GA"
AR1LQNB1187B9A6AE5,La Portuaria,
ARWDP431187FB56492,Spinal Tap,
AR0XSOO1187B9B9E88,Buzzcocks,London / Ex-Manchester
ARW1MUW1187FB4D5A1,3 Doors Down,"Escatawpa, MS"
ARI8GY11187B988DF4,Hemdale,
AROVSYC119B3403921,Gus Viseur,
ARWJHW61187B98FA8E,Papa Wemba,"Kasai, Zaire"
AR609UN1187FB53FA1,Pride Tiger,
ARZOVCV11F4C83D9FA,Bamberg Symphony Orchestra and Hans Swarowsky,
ARA373P1187B9A74C7,Barbarito Diez,
ARS1DCR1187B9A4A56,Winston Reedy,
AR5U94U1187FB5CDCF,John Hammond,
AR8SRQ31187FB4D477,Ten Years After,"Nottingham, England"
ARWSMC91187B9AD369,Helen Love,"Cardiff, Wales"
ARXTM8U1187B99F200,Pablo Montero,
ARJ1W5M1187FB458F3,Sweet,"London, England"
ARBEBBY1187B9B43DB,Tom Petty And The Heartbreakers,"Gainesville, FL"
ARWI6LR1187FB46E9F,Richard Galliano,"Le Cannet, France"
ARTXS851187FB411C7,Chris Farlowe,"Essex, England"
ARDHKHJ1187B9B62EA,Steve Wilson,Texas
ARKQ9JM1187FB57521,A.Z.,"Oakland, CA"
ARH0NCL1187B99B41A,Quadro Nuevo,
ARADF5Q1187B98DAE7,Francisco Céspedes,
ARX2DLI1187FB4DD03,The Presets,"Sydney, Australia"
AR7C6G11187B9B4C1E,Jennifer Lopez,"The Bronx, New York"
AR9RTS51187B996CC8,John Legend [feat. Buju Banton],Hawaii
ARGO67V1187B9968D2,Saosin,California
AR039B11187B9B30D0,John Williams,"NEW YORK, New York"
ARG9E8O1187B99AB4F,Bury Your Dead,"Boston, Massachusetts"
ARSVRVA1187B99228A,The Nelons,
AR27XEH1187FB4EC83,Les Blaireaux,Lille (59)
ARFG9M11187FB3BBCB,C-Side & Petit Mal,Nashua USA
ARJJRZ41187FB4C856,Jewel,"Payson, UT"
ARWG0541187FB364EC,Las Ketchup,
ARTE9CG1187B99B1AF,DMX,
AR7CCCC1187FB578FF,Don Gibson,"Shelby, North Carolina"
ARBM57Q1187B9AF97C,James Horner,"Los Angeles, CA"
AR02YGA1187B9B8AC4,Bersuit Vergarabat,Buenos Aires
ARI6OUG1187B989234,Izzy,
ARQPSAB1269FCD243F,Acorps de Rue,
ARXCUQE1187B9ADD91,Pee Wee King,"Milwaukee, WI"
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,
ARYA9ZH119B8668A81,Our Time Down Here,Great Britain / UK
ARRXG5Y1187B9AA016,G-Unit,ABD
AR6AGJV1187FB504BA,Kitaro,"Toyohashi, Japan"
AR2ABYH1187B9A0C67,Bröderna Djup,
AR0X3JJ1187FB3A9A7,Hank Locklin,"McLellan, FL"
AR1JGQT1187FB56878,Jo-El Sonnier,"Rayne, LA"
AR0DSOO1187B9B855E,Wailing Souls,
ARKPDBH1242077DEB1,Murskahumppa,
ARN7OQ21187FB5A6B3,Furry Lewis,"Greenwood, MS"
AR1ZYLH1187B98C159,Naughty By Nature;Naughty By Nature featuring Zhane,"East Orange, NJ"
ART9VCW1187B9B6FE6,Lili Ivanova,
ARH6W4X1187B99274F,Radiohead,"Oxford, UK"
ARB06Z71187B99049A,Seamus Egan,
ARP32X81187B99EBF5,Vanessa Bell Armstrong,"Detroit, MI"
ARMBDNQ1187FB3F3EC,Arthur Tracy,"Kamenetz-Podolsk, Moldavia"
AR1PCLK1187FB5BBFF,Angelo Badalamenti,New Jersey
ARXP7MQ1187FB3AC5F,Dave Hollister,LOWELL
AR8LD3R1187FB4D08F,C.C. Adcock,Louisiana
AR0X3JJ1187FB3A9A7,Hank Locklin,"McLellan, FL"
ARASYMJ1187B9ACAF2,Whitesnake,"London, England"
ARNNBW81187FB55594,We Show Up On Radar,nottingham
AR202MX1187B9B0383,Tanto Metro & Devonte,
AR9YS621187FB5AC07,The Clark Sisters,
ARM5JLS1187FB3615B,Tammy Wynette,"Itawamba County, MS"
ARQGNEN1187FB4494C,Gabinete Caligari,
AR1WU211187FB57E2B,Terry Riley,"Colfax, CA"
AR2CM6U1187B999EB7,Basic Channel,"Berlin, Germany"
ARODP5P1187FB40142,Eddie Cano,
AR3DYAD1187FB3964E,Chet Atkins,"Luttrell, TN"
AR69GPS1187B99E556,SUMO,New Hampshire
ARPLE851187B9B2B7C,Superchumbo,
ARMFGS71187B98ED03,liquid soul & freq,
AR0I2BV1187FB3D89F,Enslavement Of Beauty,NORWAY
ARHU9211187B9B7E0E,Fort Minor (Featuring Mr. Hahn),LA California
ARBOG0H1187B99F775,MxPx,"Bremerton, WA"
ARKJVHY11E2835E76B,Sonny Terry & Brownie McGhee,Massachusetts
ARDL6T21187FB36FDD,C.J. Chenier,"Port Arthur, TX"
ARPPTNG11F50C482A3,Mercedes Castro,
ARGMRRK1187FB5BE1F,Dean Elliott And His Big Band,
ARVN9FZ1187FB393F1,Snow Patrol,"Dundee, Scotland"
ARVMFE61187B992463,Darwin Hobbs,
ARWQQYJ1187B9ADC4C,Anubis Spire,NY - Upstate NY
ARWRS4D1187FB3FCD4,Elakelaiset,
ARVSDB11187FB4270B,The Creation,"Middlesex, England"
AR573WK1187FB47167,The Balustrade Ensemble,san francisco
ARMJAGH1187FB546F3,The Box Tops,"Memphis, TN"
AR6DD3C1187FB3D775,Beaver Harris,"Pittsburgh, PA"
ARF3L8J1187B9B7866,Astarte,"Athens, Greece"
ARIUHYM1187B9AEAE4,Ultimate Fakebook,"Manhattan, Kansas"
ART3O5Z1187B9AB043,Stevie Ray Vaughan And Double Trouble,"Dallas, TX"
ARPOPBQ11F4C83D36D,DJ Spinn,
ARU24791187B996E24,Prisma,Switzerland
ARB29H41187B98F0EF,Terry Callier,Chicago
ARB5TJM1187B9A71FD,Finntroll,
ARNQ7UN1187B98EE77,Novaspace,"Berlin, Germany"
AR31G891187FB3892D,Laid Back,Denmark
ARP96FM1187B9AEA77,Semisonic,"Minneapolis, MN"
AR7CCS31187B98C531,Tom Barabas,
ARUG6DV1187B992475,Willie Clayton,"Indianola, MS"
AR2PNSZ1187B9AF0A4,Pardesi,
ARWYDXE12420780913,Baby Grand,California
ARMEUT11187B9BA155,Steve Riley & The Mamou Playboys,
ARMLW331187B9923F9,DJ Ostkurve,
AR5DXUU1187B9B0E42,Falco,"Vienna, Austria"
ARHK7A51187FB411D8,Roy Rogers,"Redding, CA"
ARO89GU1187B98ADA2,Reni,"Manchester, England"
ARN5BHA1187B99E072,Leonard Kwan,
ARWD82K1187B98CFF2,Cracker,Richmond VA
ARWXHRS1241B9C7A1E,Thomas Battenstein,
ARJAOPV1187B9A96D9,Javier Mendoza Band,United States
ARQFPCY1187FB552CE,Sapo,California - LA
ARTB5PP1187FB523B7,Donny Hathaway,"Chicago, IL"
ARPKGV01187B9939F5,The Charms,Mass. - Boston
ARBQPXY1187B98D67B,Kris Kristofferson,"Brownsville, TX"
AR10USD1187B99F3F1,Silverstein,"Burlington, Ontario, Canada"
AR6J3X81187FB59A7B,Matisyahu,"Brooklyn, NY"
ARJXULI11F4C83C865,Béla Fleck,
ARRLCY71187B9A0FC6,Jongo Trio,
ARSW5F51187FB4CFC9,Alice In Chains,"Seattle, WA"
ARWZSFC1187FB567BF,Eddie Money,"Brooklyn, NY"
ARB06Z71187B99049A,Séamus Egan,
AR56P361187B9AC4DB,Gary Moore,"Belfast, Northern Ireland"
AR0S7TA1187FB4D024,Christina Aguilera,
ARJA5XT1187B9B89AA,David Tao,
ARIP54S1187FB53259,Jaime Urrutia,
AR5RA3W1187B9B4A22,Pepe Kalle,
ARTTFAQ1187B98E4FA,Kiprich,
AREY3RN1187B993C5F,Goatwhore,"New Orleans, LA"
ARYVLXY1187FB373B0,Maurane / Lara Fabian,"Ixelles, Belgium"
AR7LIU31187B98EF11,Rita Chiarelli,
ARL6UP41187FB5C604,Facto Delafe y las flores azules,
ARCID1N1187FB51DA0,Carlos Nuñez,
ARUILCK12086C13991,Antonio Bribiesca,
ARNLW7H1187B99EC9D,Trick Trick / Eminem,
ARD3LXU1187B9ABFC5,Sex Pistols,
ARPHH7Z1187B9B6A3A,Franco,"Sona-Bata, Zaire"
ARXPPEY1187FB51DF4,Michael Jackson,
ARW90Y31187B98FC7C,Pinchers,
ARW1MUW1187FB4D5A1,3 Doors Down,"Escatawpa, MS"
AR6ZYK41187B9996BB,Kenny Price,
AR3Q48J1187FB55278,The Rapture,
ARDNUIN1187B98CB45,Cândido,
ARZVEF91187B9AC770,Elliot Goldenthal,"New York, NY"
ARUKJUP12086C14589,Ramón Vargas_ Sängerknaben Luzerner Kantorei_ Henk Geuke_ Concilium Musicum Wien & Paul Angerer,
AR1OBRC1187FB59AD4,Behemoth,POLAND
ARZZRK91187B9A5CA5,Delroy Wilson,"Kingston, Jamaica"
ARUF32D1187B9B157E,Soilwork,"Helsingborg, Sweden"
AR2KPDL1187B9A6BD8,Andre Popp,
AR3PN3R1187FB4CEBD,Horace Andy,"Kingston, Jamaica"
ARH6VQG1187B9BA0FA,Photo Atlas,"Denver, CO"
ARTYXQC1187B9ACAB2,Shaggy,"Kingston, Jamaica"
AR7N7MI1187FB46935,Sade,"Ibadan, Nigeria"
ARV1RMI1187FB48F94,Arkona,
ARVN9FZ1187FB393F1,Snow Patrol,"Dundee, Scotland"
AR9YWMS1187FB43A34,Dinosaur Jr,"Amherst, MA"
ARFJD5L1187B9A30BA,Los Van Van,Cuba
AR1KMPF1187B99AA98,Lara,
ARSYKGV1187B9A49CD,Nicole C. Mullen,
AR9788H1187B9A05D1,Outerspace,"Philadelphia, PA"
ARHXWB01187B9A205C,Gloria Lasso,
ARZ2CX31187B991668,Les Sexareenos,
ARFJXTS11F4C83E24E,Defect & Quixotic,
ARYLG3I119B8668696,Rockin' Dopsie_ Jr.,
AREB22L1187B9A4BCE,Bad Azz,
AR25LGJ1187B9B2492,Sir Douglas Quintet,"San Antonio, TX"
AROIHOI122988FEB8E,Mario Rosenstock,
ARXZIHJ1187B9A4ED9,Ray Conniff,"Attleboro, MA"
ARCBYJW1187FB51FD8,Major Lance,"Chicago, IL"
ARHTRR71187B98F305,Michelle Tumes,
ARQILMW1187B9890DA,Kitty Wells,"Nashville, TN"
ARHRY5S1187B99B96F,Static-X,Alabama
ARPUEAL1187FB57814,Gov't Mule,
ARYZV2X1187B997BE7,Chris Standring,California - LA
ARBXODO1241B9C6C6F,Ismael Dueñas,
ARZQPE11187FB40939,The Panic Channel,
AREB22L1187B9A4BCE,Bad Azz,
AR1F3IJ1187B9980B4,The Galactic Heroes,
ARF1E421187B9AF8C4,El Gran Silencio,
ARIYFYD1187FB3F0E5,Anané,
ARLAEJO1187B98DB85,FU-Schnickens,
AREKZKE11F50C4A7D8,Rocker-T,Wisconsin
ARKJVHY11E2835E76B,Sonny Terry & Brownie McGhee,Massachusetts
ARMH10M1187FB4184F,Firehouse,Wisconsin
ARK2G5U1187FB46B34,Perrey And Kingsley,
AR4IFI31187FB3A953,Cats In Boots,
AR6W9T51187B9A8B8E,Maurice Larcange,
ARQVLQJ1187B98F11F,Mau Mau,
ARGNQED1241B9C4237,Youves,
ARRT66G1187FB3DDF9,Freddie King,"Gilmer, TX"
ARANDRM1187B98B446,Wild Horses,
AR2J2WF1187FB46271,Francis Dunnery,"Egremont, Cumbria, England"
ARUDY181187B9B5F49,Charlie Walker,"Collins County, TX"
ARRBINW1187B98AE6D,Marcie Blane,"Brooklyn, NY"
ARSE5NP1187B9B98AB,Twista,"Chicago, IL"
AR0WGXC1187B9AAC99,Slum Village,Detroit MI
ARVUN5F1187FB4CCC7,Beenie Man Featuring Janet Jackson,"Kingston, Jamaica"
AR1DLF21187FB3CBF0,4Him,
ARLV8S31187B988B71,Georges Brassens,"S�, France"
ARZ78EG1187FB4638E,Malefaction,
ARW6LIW1187B9966CD,JERRY WALLACE,"Kansas City, MO"
ARG37DA1187B9A47FF,Morgion,
ARW1WST1187FB384DA,Jope Ruonansuu,
ARU2JAB1187FB50C72,David Meece,
AR6QQY41187B990574,Danny Wilson,"Dundee, Scotland"
ARYJ6RP1187B9B3827,Cindy Morgan,"Nashville, TN"
AROY6XW1187B991121,Steve Vai,"Carle Place, New York"
ARPINYO12454A2E4AB,Deathstar,Washington
AR1PRQ21187FB3B481,Generation X,
ARVYDAQ1187FB43338,Teijo Joutsela and Humppa-Veikot,
ARZFRQM1187B9A9772,Vanessa Daou,
ARQIAEA1187FB4F9F9,Laidback Luke & Diplo,
ARKEFM61187B9A8202,Moon Mullican,"Corrigan, Polk County, TX"
ARJ2PMY1187FB5B563,Burning Spear,NY - Long Island
ARJB9TE1187FB3A9F8,The Edgar Broughton Band,
ARW70HR1187B9A358C,Aleks Syntek,"Merida, Mexico"
ARDUOSV1187B9894D5,Wes King,
AR0OTEX1187FB3600D,Los Del Rio,
AR1WC0X1187B991056,Jefferson Starship,"San Francisco, CA"
ARNZ70R1187B9A4824,Joe Satriani,"Westbury, Long Island, NY"
ARHBWOZ1187FB3FD53,Utopia,ITALY
ARDF8K01187FB37200,Wolfmother,"Sydney, Australia"
ARNDB1X1187B990AA0,Suicidal Tendencies,"Venice, CA"
AR7V3VQ1187B9A08AA,At All Cost,"Austin, Texas"
AR2OPWW1187B9A5057,Schoolyard Heroes,"Seattle, WA"
ARH4N0N1187FB3E1F1,Malkit Singh,
ARIKE5O1187B997E73,Mississippi Mass Choir,
AR9DO2O1187FB53637,ColdWorld,"Germany (Erfurt, Thuringia)"
ARNLE621187B98ECB5,Mannheim Steamroller,"Omaha, NE"
AR37ILI1187B98E27B,Shriekback,"London, England"
AR15YLD1187FB3D4DD,John Tchicai,"Copenhagen, Denmark"
ARQQP3Z1187FB5707B,Bert Kaempfert,"Hamburg, Germany"
AR6Z6BW1187B9ACD69,The Ruby Suns,
ARNNM56119B86686EA,Luke Bryan,
ARO0R521187B98A2D1,2 Minutos,
ARHTRR71187B98F305,Michelle Tumes,
ARJ9DSA1187B990E00,John Mayall & The Bluesbreakers,
ARBFDJW1187B9AD27A,The Fabulous Thunderbirds,"Austin, TX"
ARCDLDD11F33E000A4,Varios,
ARJPUZC1187B99A8F6,Mike Brooks,"Westmoreland, Jamaica"
ARBFDJW1187B9AD27A,The Fabulous Thunderbirds,"Austin, TX"
AR0DSOO1187B9B855E,Wailing Souls,
AR1DR0E1187FB48F61,Kathy Mattea,"Cross Lane, WV"
ARA2ZTN1187B98E3ED,This Moment,"Cleveland, OH"
ARUZILO1257509E8E1,Greg Vaccariello,
ARDTECS1187FB538C0,Symphony in Peril,"AMSTERDAM, New York"
ARR575U1187B98FB97,The Perrys,Maryland
AROPZYT11F4C83EFFA,J.C. Lodge,
ARPDVPJ1187B9ADBE9,Usher,"Atlanta, GA"
AR56P361187B9AC4DB,Gary Moore,"Belfast, Northern Ireland"
ARUZD301187FB4AC65,Ronny Eriksson,
ARQXAGC12472CE2BBD,Spiral Stairs,
ARJ9DSA1187B990E00,John Mayall,
ARUVPCM1187FB5C281,Attack Attack,USA
ARYF20K1187B9B76BD,George Lopez,"ORANGE, California"
ARVEJ9M1187FB4DC44,Les Ogres De Barback,
ARHK7A51187FB411D8,Roy Rogers,"Redding, CA"
AR9UPVA1187FB51260,Brent Lamb,
ARLI9NJ1187B9911FB,Vodka Collins,"Tokyo, Japan"
ARHKOPH11F919A768B,Coffinberry,Ohio
ARUW6HS1187FB3F028,Rokia Traoré,
ARRR4Y81187FB524CE,Lonnie Brooks,"Dubuisson, LA"
ARKQN8X1187B99221C,Joe Rogan,"Newark, NJ"
ARDBFT21187B98E524,Janitor Joe,
ARUUXNF1187B98FB36,Charlie Peacock,
ARMQHX71187B9890D3,Mastodon,"Atlanta, GA"
ARLFUII1187FB565E5,I Wayne,
ARTJ9GZ1187B9B46DE,Young-Holt Unlimited,"Chicago, IL"
AR1NRA91187FB404C3,Jazzy B,
ARDUBUY12086C1464B,Brenda Boykin,
ARPK1CM1187B9B6B9C,Roger Reynolds,
ARE8GLF1187FB52532,Red Hot Chili Peppers,
AR0JEOI1187B98B918,Erik Berglund,Texas
